,name,platform,director,casting,rating,원제,제작 연도,장르,국가,연령 등급,내용,채널
0,강철의 연금술사 BROTHERHOOD,"['왓챠', '티빙']",[],"['박로미', '쿠기미야 리에', '타카모토 메구미', '미키 신이치로', '오리카사 후미코', '우츠미 켄지']",4.5,鋼の錬金術師 FULLMETAL ALCHEMIST,2009,액션/애니메이션/모험,일본,청소년 관람불가,"엘릭 형제는 현자의 돌을 사용하는 호문클로스라는 괴물들과 맞딱뜨리게 되고, 엘릭 형제가 그토록 찾아해매던 현자의 돌을 만들기 위해서는 사람의 목숨이 필요하다는 사실을 알게 된다. 다른 사람을 희생하면서까지 자신들의 몸을 되찾아야 하는지 고민에 빠지는 엘릭 형제. 악의 무리인 호문클로스들과 아버지라고 불리는자와의 치열한 대결이 끝난 후, 에드워드는 자신의 진리의문을 대가로 알폰스의 몸을 연성하고, 알폰스는 원래 세계로 돌아오게 된다.",
1,죠죠의 기묘한 모험 - 스타더스트 크루세이더즈,['넷플릭스'],[],"['오노 다이스케', '이시즈카 운쇼', '미야케 켄타', '히라카와 다이스케', '코마츠 후미노리', '후쿠엔 미사토']",4.1,ジョジョの奇妙な冒険,2014,애니메이션/액션/모험/판타지/공포,일본,청소년 관람불가,"1987년 일본. 어느날 갑자기 '악령'이 들러붙어 자신을 안전하게 하기 위해 유치장에 틀어박힌 고교생 쿠죠 죠타로. 어느날 자신의 조부인 죠셉 죠스타와 그 친구 모하마드 압둘이 방문해, 그것은 악령이 아니라 정신 에너지를 구현화시킨 초능력 '스탠드'라는 사실을 알려준다. 몇년 전, 죠셉의 조부였던 죠나단과 대결한 흡혈귀 DIO가 죠나단의 몸을 빼앗고 해저에 잠들었으나, 그가 부활한 탓에 죠스타 가문이 일제히 스탠드 능력을 발현했다는 것. DIO는 강력한 스탠드 능력자를 찾아 자신의 육체의 씨앗을 심어 부하로 조종하며 세계정복을 꾸미고 있었다. 몇일 후, 죠타로의 어머니인 쿠죠 홀리가 고열로 쓰러지게 된다. 이는 홀리에게 발현한 스탠드 능력때문이며, 투쟁본능이 약한 홀리는 스탠드의 능력을 제어하지 못하고 육체의 에너지를 소모하고 있었던 것이다. 홀리가 사망할때까지 남은 시간은 50일. 그 기간내에 DIO를 쓰러뜨리는 것 이외에는 다른 방법이 없다. 죠타로, 죠셉, 압둘 그리고 죠타로에 의해 DIO의 세뇌에서 풀린 카쿄인 노리아키 4사람은 DIO가 기다리는 이집트로 향한다.",TOKYO MX
2,밴드 오브 브라더스,['웨이브'],"['데이비드 프랭클', '미카엘 살로몬', '데이빗 너터', '필 알덴 로빈슨', '토니 토']","['데이미언 루이스', '론 리빙스턴', '도니 월버그', '스캇 그라임스', '피터 영블러드 힐스', '셰인 테일러']",4.4,Band of Brothers,2001,역사/드라마/액션/전쟁/시대극/TV드라마,"영국,미국",15세 관람가,"세계 2차대전 전문역사학자 스티븐 앰브로스의 소설 '밴드오브브라더스'를 원작으로, 세계 2차대전 당시 프랑스 노르망디에 상륙한 연합군 '이지(Easy)' 중대(제 101사단 506연대 2대대) 대원들의 활약상을 담은 드라마.",HBO
3,데스노트 1기,,[],"['김영선', '엄상현', '민응식', '정소영', '최문자', '장광']",4.3,데스노트,2006,애니메이션,일본,15세 관람가,"평범한 고교생인 야가미 라이토. 그는 전국에서 알아주는 우수한 성적을 가지고 있지만 매일 똑같은 하루에 지루함을 느끼곤 한다. 그러던 어느 날 하늘에서 검은 노트가 라이토 앞에 떨어진다. 그 노트는 사신계에서 떨어진 죽음의 노트. 그 노트에 이름이 적힌 자는 반드시 죽게 되는 노트인 데스노트였다. 라이토는 데스노트를 이용해 세상의 신이 되겠다는 계획을 세우고, 노트의 주인인 류크와 함께 데스노트를 이용해 세상의 범죄자들을 차례차례 죽여나가지만 이런 사건이 하나 둘씩 터지자 각 국가의 경찰들은 비상사태를 맞는다. 그리하여 그들은 탐정 L을 고용, 이 사건의 진범을 찾기로 하는데… 라이토와 L의 숨막히는 추리 게임이 시작된다!!!",NTV
4,블랙 미러 시즌 4,['넷플릭스'],"['조디 포스터', '토비 헤인즈', '조디 포스터', '토비 헤인즈']","['브라이스 달라스 하워드', '앨리스 이브', '마이클 켈리', '체리 존스', '구구 엄바사 로', '아만다 워렌']",4.2,Black Mirror,2017,드라마/SF/스릴러/TV드라마,영국,청소년 관람불가,가까운 미래의 첨단 기술이 인간의 욕망을 실현해주면서 벌어지는 특별한 상황들을 영국 특유의 어두운 상상력으로 풀어낸 6부작 SF 시리즈. 디지털 시대의 '환상 특급'이라 불린다.,Netflix
5,셜록 시즌 2,,"['폴 맥기건', '토비 헤인즈', '폴 맥기건', '토비 헤인즈', '폴 맥기건', '토비 헤인즈', '토비 헤인즈']","['베네딕트 컴버배치', '마틴 프리먼', '루퍼트 그레이브스', '우나 스텁스', '마크 거티스', '앤드류 스콧']",4.5,Sherlock,2012,범죄/미스터리/드라마,영국,12세 관람가,코난 아서 도일의 유명 추리소설 '셜록 홈즈’를 현대적 감각으로 재창조한 작품,BBC
6,체르노빌,['웨이브'],[],"['자레드 해리스', '스텔란 스카스가드', '에밀리 왓슨', '폴 리터', '제시 버클리', '아담 나게이티스']",4.5,Chernobyl,2019,드라마/역사/스릴러/TV드라마,"미국,영국",,"1986년 4월 26일, 소련 체르노빌에서 원자력 발전소 폭발 사고가 발생한다. 정부는 끔찍한 방사능 피해 사실을 부정하고 은폐하며 시민들을 죽음으로 몰아넣고, 사고는 인류 역사상 최악의 재난으로 번져간다.",HBO
7,더 퍼시픽,['웨이브'],"['티모시 반 패튼', '데이빗 너터', '제레미 포데스와', '그레이엄 요스트', '칼 프랭클린', '티모시 반 패튼', '데이빗 너터', '제레미 포데스와', '그레이엄 요스트', '칼 프랭클린']","['제임스 배지 데일', '조셉 마젤로', '존 세다', '애쉬튼 홈즈', '라미 말렉', '스콧 깁슨']",4.2,The Pacific,2010,전쟁/드라마/모험/액션/시대극/TV드라마,"미국,호주",청소년 관람불가,제2차 세계대전 태평양 전선에서 일어나는 전투에서 미 해병대의 활약을 그린 드라마,HBO
8,키딩 시즌 1,['왓챠'],[],"['짐 캐리', '캐서린 키너', '주디 그리어', '프랭크 란젤라', '콜 알렌', '진저 곤자가']",4.3,Kidding,2018,코미디/드라마/TV드라마,미국,청소년 관람불가,사고로 아들을 잃었지만 인형과 함께 웃어야만 하는 유명 어린이 프로그램의 진행자 제프. 자신의 고통을 직면하고 나누지 못하는 그의 삶에 비틀린 슬픔과 광기가 깃들기 시작한다.,WATCHA
9,멜로가 체질,"['넷플릭스', '디즈니+', '티빙']",[],"['천우희', '전여빈', '한지은', '안재홍', '공명', '윤지온']",4.3,멜로가 체질,2019,드라마/로맨스/코미디/로맨틱 코미디/TV드라마,한국,15세 관람가,"서른, 견디기 힘든 현실 속에서도 서른 살 이기에 아직 꿈을 꾸는 그들. 일과 연애에 대한 고민을 친구들에게 털어놓고 위로 받으며 한 걸음씩 성장하는 서른 살 그녀들의 판타지. 비록 현재 처한 상황이 녹록치 않을지라도! 이룬 것이 단 하나도 없을지라도! 그래도 꿋꿋하게 나아가는 대한민국의 모든 서른 들에게 이 드라마를 바친다.",JTBC
10,완다비전,['디즈니+'],[],"['엘리자베스 올슨', '폴 베타니', '캐스린 한', '티요나 패리스', '랜달 박', '캣 데닝스']",4.0,WandaVision,2021,액션/모험/드라마/TV드라마,미국,12세 관람가,이상적인 교외 생활을 하고 있는 초강력 존재인 완다 막시모프와 비전은 모든 것이 겉으로 보이는 것과 같지 않다고 의심하기 시작한다.,Disney+
11,죠죠의 기묘한 모험 - 다이아몬드는 부숴지지 않는다,['넷플릭스'],[],"['오노 유우키', '카지 유우키', '타카기 와타루', '사쿠라이 타카히로', '오노 다이스케', '토요구치 메구미']",4.0,ジョジョの奇妙な冒険,2016,애니메이션/액션/모험/판타지/공포,일본,청소년 관람불가,"해양학자가 된 쿠죠 죠타로는 나이를 먹어 죽음에 임박한 죠셉 죠스타의 유산분배에 관해 조사를 하다가, 죠셉의 숨겨둔 아들인 히가시카타 죠스케가 일본 모리오쵸에 살고 있다는 정보를 입수하고 죠스케와 유산분배에 관해 이야기 하기 위해 모리오쵸로 향한다. 평소에는 온순해 보이는 죠스케는 헤어스타일에 관한 이야기를 꺼내는 순간 분노하여 스탠드 '크레이지 다이아몬드'를 사용해와 죠타로를 놀래킨다. 죠타로는 죠스케에게 유산에 관해 말해주는 한편, 죠스케가 찾아낸 사진을 염사하여 모리오쵸에 훙악범죄자이자 스탠드 능력자인 '안젤로'가 숨어들어왔다는 것을 알아챈다. 안젤로는 모리오쵸의 경찰관이자 죠스케의 할아버지를 살해, 죠스케는 마을을 사랑한 할아버지의 유지를 이어 마을에 들어온 사악한 스탠드 능력자들을 해치우겠다고 마음먹는다. 그렇게 안젤로의 뒤를 쫓은 죠스케와 죠타로는 보통 사람에게서 스탠드 능력을 발현시키는 '활과 화살'의 존재에 대해 알게되는데...",TOKYO MX
